"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"92"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"93"	"Round - 6"	"62"	"29"	"10"	"158"	"222"	"17"	"10"	"6"	"452"	""	"452"	"0"
"94"	""	"63"	"11"	"4"	"136"	"400"	"29"	"15"	"31"	"626"	""	"626"	"0"
"95"	""	"64"	"23"	"15"	"175"	"146"	"15"	"30"	"34"	"438"	""	"438"	"0"
"96"	""	"65"	"24"	"17"	"183"	"132"	"24"	"20"	"35"	"435"	""	"435"	"0"
"97"	""	"66"	"68"	"19"	"340"	"155"	"11"	"12"	"27"	"632"	""	"632"	"0"
"98"	""	"67"	"9"	"2"	"155"	"129"	"10"	"8"	"10"	"323"	""	"323"	"0"
"99"	""	"68"	"29"	"14"	"214"	"186"	"15"	"17"	"21"	"496"	""	"496"	"0"
"100"	""	"69"	"40"	"15"	"324"	"136"	"20"	"16"	"24"	"575"	""	"575"	"0"
"101"	""	"70"	"16"	"8"	"336"	"86"	"14"	"10"	"14"	"484"	""	"484"	"0"
"102"	""	"71"	"61"	"15"	"110"	"164"	"15"	"23"	"28"	"416"	""	"416"	"0"
"103"	""	"72"	"24"	"8"	"124"	"88"	"12"	"11"	"19"	"286"	""	"286"	"0"
"104"	""	"72&d"	"15"	"6"	"125"	"172"	"15"	"20"	"25"	"378"	""	"378"	"0"
"105"	""	"73"	"37"	"19"	"308"	"98"	"20"	"14"	"33"	"529"	""	"529"	"0"
"106"	""	"74"	"56"	"21"	"203"	"77"	"36"	"17"	"51"	"461"	""	"461"	"0"
"107"	""	"Total"	"442"	"173"	"2891"	"2191"	"253"	"223"	"358"	"6531"	""	"6531"	"0"
"108"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"109"	""	""	"Anjar Ahmad Kha,(L.J.P)"	"Dinesh Mahto (C.P.I)M.L"	"Nitish Mishra (J.D.U)"	"Ram Awatar Chaudhary (R.J.D)"	"Ram Bilas Dhangar (B.S.P)"	"Vivekanandan Mishra (S.P.)"	"Nathuni Yadav (IND.)"	""	""	""	""
"110"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"111"	"Round - 7"	"75"	"67"	"12"	"180"	"117"	"23"	"10"	"25"	"434"	""	"434"	"0"
"112"	""	"76"	"34"	"12"	"274"	"126"	"17"	"24"	"12"	"499"	""	"499"	"0"
"113"	""	"77"	"25"	"8"	"266"	"43"	"8"	"11"	"7"	"368"	""	"368"	"0"
"114"	""	"78"	"39"	"8"	"241"	"44"	"26"	"12"	"33"	"403"	""	"403"	"0"
"115"	""	"78&d"	"25"	"6"	"139"	"128"	"9"	"8"	"14"	"329"	""	"329"	"0"
"116"	""	"79"	"28"	"10"	"234"	"144"	"16"	"12"	"27"	"471"	""	"471"	"0"
"117"	""	"80"	"25"	"7"	"140"	"235"	"22"	"6"	"19"	"454"	""	"454"	"0"
"118"	""	"81"	"33"	"5"	"97"	"158"	"16"	"9"	"7"	"325"	""	"325"	"0"
"119"	""	"82"	"27"	"4"	"179"	"238"	"18"	"9"	"27"	"502"	""	"502"	"0"
"120"	""	"83"	"8"	"5"	"160"	"119"	"9"	"6"	"12"	"319"	""	"319"	"0"
"121"	""	"84"	"257"	"10"	"127"	"93"	"11"	"4"	"11"	"513"	""	"513"	"0"
"122"	""	"85"	"72"	"19"	"251"	"62"	"15"	"11"	"28"	"458"	""	"458"	"0"
"123"	""	"86"	"45"	"17"	"266"	"56"	"17"	"16"	"10"	"427"	""	"427"	"0"
"124"	""	"87"	"13"	"5"	"137"	"43"	"6"	"5"	"7"	"216"	""	"216"	"0"
